dig_code,intermed,gos
1111A0,10288,10650
1111B0,55639,7314
111200,6230,9323
111300,6264,7928
111400,7645,5605
111900,10024,5767
1121A0,37297,14175
112120,23176,10726
112A00,7378,14105
112300,25011,6803
113000,8722,4704
114000,2142,3237
115000,5127,2686
211000,88353,155691
212100,20582,12486
2122A0,6358,5104
212230,4772,6144
212310,7120,8228
2123A0,6293,5234
213111,7924,7582
21311A,16027,17271
221100,128536,86797
221200,71177,26812
221300,3442,3761
230301,59723,31031
230302,31736,11845
233210,20105,7933
233230,11947,2963
233240,25309,23499
233262,46397,21010
233293,35141,11288
2332A0,54556,17204
2332B0,53714,29236
233411,135755,41315
233412,23702,9421
2334A0,116313,60588
321100,21314,1194
321200,15996,737
321910,18910,1114
3219A0,15735,1701
327100,4347,1136
327200,14147,2780
327310,5162,3508
327320,24984,2243
327330,4856,1807
327390,7136,1428
327400,4798,1359
327910,1944,1798
327991,2312,421
327992,1770,929
327993,3055,1391
327999,1920,466
331110,78010,13194
331200,16527,1585
33131A,5277,1288
331314,6474,858
33131B,21220,1351
331411,5815,1504
331419,4208,1074
331420,21050,1750
331490,12852,3377
331510,11111,2043
331520,8296,1826
33211A,8004,1471
332114,6145,1490
33211B,7979,1548
332200,5408,1699
332310,30213,3082
332320,28945,2582
332410,3340,875
332420,5368,1476
332430,12999,1275
332500,5596,1646
332600,5527,684
332710,19184,2909
332720,12775,6581
332800,15084,4299
33291A,13538,4728
332913,2397,1126
332991,3712,1457
33299A,4226,1308
332996,4265,1207
33299B,11276,1863
333111,13421,4068
333112,6086,1299
333120,23177,4198
333130,13662,1343
33329A,13549,1610
333220,2207,63
333295,9172,2079
33331A,8845,335
333313,1031,217
333314,2428,47
333315,985,230
33341A,2929,866
333414,2934,887
333415,19668,4024
333511,2615,303
33351A,3394,635
333514,3969,377
33351B,4666,837
333611,5684,1227
333612,1870,563
333613,2356,813
333618,19196,2404
33391A,7435,3606
333912,5679,1941
333920,16827,5151
333991,1217,641
33399A,10867,2241
333993,2478,578
333994,1263,237
33399B,5400,835
334111,23575,6738
334112,4776,1143
33411A,7967,1810
334210,11033,4423
334220,21522,13123
334290,2795,495
334300,4272,1345
33441A,14731,4174
334413,27993,23854
334418,16304,3932
334510,11336,8030
334511,22041,9948
334512,1566,239
334513,5092,177
334514,3478,1388
334515,6891,1549
334516,6607,3070
334517,3716,531
33451A,4809,2126
334610,3317,1585
335110,1350,71
335120,6096,1987
335210,2168,304
335221,3172,590
335222,3441,1359
335224,2865,208
335228,2581,1192
335311,4312,985
335312,7986,1302
335313,6024,1735
335314,5509,919
335911,3716,797
335912,1786,502
335920,12103,1825
335930,5942,2861
335991,1606,449
335999,5690,1041
336111,66129,8336
336112,130438,24146
336120,16342,1248
336211,8960,461
336212,5453,332
336213,4480,228
336214,7781,978
336310,20165,1907
336320,13673,404
3363A0,15658,1121
336350,26036,2744
336360,16951,1286
336370,20055,3633
336390,35975,2735
336411,54261,19922
336412,22117,7232
336413,15831,9328
336414,6538,1364
33641A,2766,489
336500,10378,538
336611,10954,1278
336612,7721,564
336991,4244,813
336992,6430,3987
336999,5975,730
337110,11928,467
337121,7595,307
337122,4027,754
33712A,2469,385
337127,3355,696
33721A,9967,4261
337215,4819,49
337900,6259,1389
339112,13171,7227
339113,15524,9298
339114,2428,849
339115,2711,834
339116,2278,273
339910,6550,766
339920,7302,1746
339930,1919,467
339940,2317,612
339950,7926,739
339990,17848,2838
311111,9170,3017
311119,19994,1429
311210,11235,854
311221,9376,1558
31122A,19941,52
311225,11829,851
311230,5294,3449
311300,18654,3985
311410,19639,964
311420,28380,1480
31151A,27580,2082
311513,28067,1663
311514,11388,867
311520,5897,1560
31161A,89157,5688
311615,40129,1009
311700,7762,689
311810,21383,1826
3118A0,13603,3492
311910,14366,6450
311920,5917,843
311930,3419,4067
311940,10416,1231
311990,14906,899
312110,34080,3271
312120,13661,4939
312130,9037,1658
312140,3534,2702
312200,13373,25753
313100,7507,10
313200,11585,1845
313300,6230,412
314110,9638,1012
314120,2846,298
314900,5895,602
315000,10894,724
316000,3941,150
322110,3533,880
322120,33013,8743
322130,16659,5504
322210,36733,1408
322220,14387,2228
322230,5176,883
322291,5608,2206
322299,3130,682
323110,53853,12714
323120,2242,765
324110,427725,124858
324121,7164,3611
324122,5170,1929
324190,7028,5932
325110,60302,12783
325120,4583,2973
325130,5435,1443
325180,17558,8776
325190,85159,9086
325211,67628,10891
3252A0,12688,1089
325310,12635,3536
325320,5440,4837
325411,6355,4014
325412,65871,58812
325413,5812,3598
325414,8235,11778
325510,15689,4895
325520,7337,1763
325610,22405,20293
325620,18042,17051
325910,3197,950
3259A0,26905,5875
326110,23400,5303
326120,9045,1423
326130,2055,594
326140,5200,897
326150,6739,1148
326160,8016,1899
326190,61904,7445
326210,12402,519
326220,2716,136
326290,10093,1818
420000,408614,256341
441000,48376,31013
445000,61941,27774
452000,69309,9993
4A0000,263488,118422
481000,87232,13219
482000,29543,13424
483000,33656,8265
484000,160143,43355
485000,18525,10959
486000,12523,6543
48A000,47786,12749
492000,40159,11204
493000,27770,9421
511110,22493,8551
511120,25216,10434
511130,9771,21564
5111A0,10738,10975
511200,45827,50737
512100,52153,34929
512200,9863,8935
515100,26748,20890
515200,23951,25793
517110,124945,113863
517210,86018,54451
517A00,13290,5558
518200,40488,17772
5191A0,2441,2308
519130,12247,12043
52A000,195551,169951
522A00,121891,26362
523A00,138516,-20399
523900,164306,-2995
524100,228248,153411
524200,82715,28837
525000,89760,22610
5310HS,140417,1172286
531ORE,562061,230075
532100,16051,18553
532A00,8888,8980
532400,13903,28999
533000,63355,62530
541100,73180,86144
541511,28396,7145
541512,37272,8723
54151A,16704,7131
541200,27506,32258
541300,131398,21734
541400,10047,11099
541610,56606,21887
5416A0,12478,2013
541700,88987,7840
541800,52562,40685
5419A0,22495,30114
541920,5518,3876
541940,12677,1505
550000,172167,30676
561100,9750,112
561200,12611,6812
561300,37795,32403
561400,26376,9344
561500,21136,6836
561600,13346,5238
561700,52772,35534
561900,20083,2789
562000,40146,12249
611100,11244,817
611A00,54395,9033
611B00,22835,1436
621100,129954,25246
621200,35891,18201
621300,21302,15430
621400,34032,14349
621500,14291,5627
621600,17210,5120
621900,14781,4923
622000,235938,19704
623A00,53471,2757
623B00,11042,848
624100,22307,4240
624A00,16489,2062
624400,14922,7030
711100,9123,4846
711200,7416,6631
711A00,15680,6627
711500,13123,11253
712000,5977,623
713100,5685,2361
713200,12977,8990
713900,31338,4050
721000,71976,41749
722110,113815,11406
722211,110038,37203
722A00,18752,1238
811100,46952,13201
811200,6639,770
811300,7310,4901
811400,6863,8526
812100,21518,17238
812200,6320,2660
812300,9788,1453
812900,19431,16678
813100,54774,8414
813A00,11427,6018
813B00,12290,2265
814000,NA,NA
S00500,216623,129856
S00600,85659,76872
491000,16587,1504
S00101,8327,611
S00102,5029,6002
S00700,577797,144696
S00201,12268,-18979
S00202,12972,9717
S00203,106145,32653
